Model,Category,Image,Chinese,Chinese (trans.),English
Qwen-VL,People,2,"厨师,厨房,烹饪,食物,餐厅,工作,忙碌,专业,帽子,围裙,手套","chef,kitchen,cooking,food,restaurant,work,busy,professional,hat,apron,gloves","chef, kitchen, cooking"
Qwen-VL,People,3,"man, holding, flowers, storefront, Mattles Florist, New York City","man, holding, flowers, storefront, Mattles Florist, New York City","man, holding, flowers, storefront, window, display, christmas, decorations"
Qwen-VL,People,4,"艺术家, 女性, 绘画, 艺术工作室, 创造力, 创意, 灵感, 色彩, 情绪, 表达, 个人风格, 手工制作, 自由, 独立, 创新, 艺术作品, 艺术家的生活, 创作过程, 艺术表达, 艺术家的工作室环境, 创作空间, 艺术工具, 艺术材料, 艺术创作","artist, women, painting, art studio, creativity, originality, inspiration, color, emotion, expression, personal style, handmade, freedom, independence, innovation, work of art, artist's life, creative process, artistic expression, artist's Studio environment, creative space, art tools, art materials, art creation","woman, painting, canvas, art, creativity, artist, sitting, floor"
Qwen-VL,People,5,"yoga, woman, practicing, outdoors, beach, ocean, warrior pose, healthy lifestyle","yoga, woman, practicing, outdoors, beach, ocean, warrior pose, healthy lifestyle","yoga, woman, ocean"
Qwen-VL,People,6,"汽车维修,技工,汽车引擎,修理,车库,工具","car repair,mechanic,car engine,repair,garage,tools","auto mechanic, car repair, garage, service, vehicle"
Qwen-VL,People,7,"建筑工人, 安全帽, 蓝图, 建筑工地, 工具, 施工现场","construction worker, hard hat, blueprints, construction site, tools, construction site","man, construction site, blueprint"
Qwen-VL,People,8,在医院病房里，一位戴着口罩和听诊器的护士正在使用笔记本电脑,A nurse wearing a mask and a stethoscope is using a laptop in a hospital ward,"nurse, laptop, face mask"
Qwen-VL,People,9,"实验室,科学家,试管,电脑,扫描仪,眼镜,手套","laboratory, scientist, test tube, computer, scanner, glasses, gloves","laboratory, scientist, equipment, test tube, computer monitor, medical research, experiment, laboratory equipment, medical laboratory, science"
GPT4,Animal,0,草地，褐色，马，放牧，尾巴，四蹄，耳朵，鬃毛，宁静，田野，夏季，自然光,"meadow, brown, horse, grazing, tail, hooves, ears, mane, tranquility, field, summer, natural light","brown horse, grazing, green pasture, sunny day, equine, tail, mane, farm fence background"
GPT4,Animal,1,"海滩, 马, 日落, 海浪, 岩石, 金色光线, 冥想, 宁静, 自然美, 沙滩, 反射, 马蹄, 清澈的天空, 野生动物, 画面般的场景","beach, horse, sunset, waves, rocks, golden light, meditation, tranquility, natural beauty, sand, reflection, horseshoe, clear sky, wildlife, picture-perfect scene","beach, sunset, horse, waves, rocks, golden light, reflection, serenity, animal, coastline, nature, tranquility, majestic horse, seaside, dusk, equestrian, sandy beach"
GPT4,Animal,2,"白天, 天鹅, 湖水, 倒影, 蓝天, 白云, 宁静, 自然美, 野生动物, 清澈, 湖畔, 风景, 平静, 优雅","day, swan, lake, reflection, blue sky, white clouds, tranquility, natural beauty, wildlife, clear, lakeside, scenery, calm, elegant","White swan, water reflection, blue sky, clouds, serene, graceful, calm waters, bright day, nature, wildlife, orange beak"
GPT4,Animal,3,"草地, 袋鼠, 跳跃, 水坑, 野生动物, 天空, 自然光, 运动, 澳大利亚动物, 反射","meadow, kangaroo, jumping, puddle, wildlife, sky, natural light, movement, australian animal, reflection","kangaroo, jumping, grassland, wetland, sunlight, reflection, wildlife, outdoor, Australia, movement, tail, marsupial"
GPT4,Animal,4,"森林, 狐狸, 秋季, 树木, 落叶, 棕色, 湿润的土壤, 警惕, 野生动物, 自然环境","forest, fox, autumn, trees, deciduous, brown, moist soil, alert, wildlife, natural environment","red fox, forest, autumn leaves, wildlife, brown fur, alert, animal, woodland, natural habitat"
GPT4,Animal,5,"沙漠, 骆驼, 蓝天, 晴朗, 干旱, 沙丘, 野生动物, 景色, 自然, 宁静, 广阔, 旅行, 探险, 生态系统, 炎热","desert, camel, blue sky, clear, drought, dune, wildlife, scenery, nature, tranquility, vast, travel, adventure, ecosystem, hot","Camel, desert, sand, blue sky, arid, dunes, wildlife, solitude, heat, trekking, nomadic, Sahara, endurance, sunny, clear sky, horizon, vastness, remote, travel, adventure"
GPT4,Animal,6,"白色, 狗, 快乐, 树木, 公园, 草地, 游乐, 散步, 模糊背景, 阳光, 下午","white, dog, happy, trees, park, meadow, play, walk, blurred background, sunlight, afternoon","White dog, smiling, park, sunny, trees, grass, outdoor, daytime, collar, happy, playful, leisure, recreation area, people in background, warm light, shadows, relaxation, pet, animal, nature"
GPT4,Animal,7,"雪, 老虎, 条纹, 冬天, 步行, 森林, 白色, 橙色, 黑色, 动物轨迹, 寒冷, 自然, 野生动物","snow, tiger, stripes, winter, walk, forest, white, orange, black, animal tracks, cold, nature, wildlife","tiger, snow, winter, stripes, walking, cold, wildlife, majestic, powerful, solitary, orange and black, forest, nature, camouflage, predator"
GPT4,Animal,8,"棕熊, 河流, 鱼, 捕食, 水花, 岩石, 湿毛发, 野生动物","brown bear, river, fish, predator, splash, rocks, wet hair, wildlife","brown bear, fishing, salmon, river, water droplets, nature, wildlife, feeding, riverbank, outdoor, daylight, wet fur"
GPT4,Animal,9,"草原, 长颈鹿, 云, 山, 草丛, 天空, 野生动物, 自然风光, 广阔视野","prairie, giraffe, cloud, mountain, grass, sky, wildlife, nature scenery, wide view","giraffe, savanna, grassland, cloudy sky, distant mountains, wildlife, natural habitat, open field, solitary, walking giraffe"
GPT4,Object,0,"银色茶壶,蓝白色茶杯,木桌,模糊的背景,壁炉,白色墙壁,室内装饰","Silver teapot, blue and white tea cup, wooden table, blurred background, fireplace, white wall, interior decoration","Teapot, cup, wooden table, blurred background, fireplace, rustic, cozy, vintage, indoor, daylight, home decor"
GPT4,Object,1,自行车，雨天，咖啡馆，湿地面，植物，木桌子，木凳子，窗户，反射，白色墙壁，黑色门,"bicycle, rainy day, cafe, wet ground, plants, wooden table, wooden stool, window, reflection, white wall, black door","Bicycle, blue panniers, cafe, windows, chalkboard sign, potted plants, wet pavement, street, white wall, reflection"
GPT4,Object,2,"窗户, 笔记本电脑, 手机, 水瓶, 植物, 桌子, 椅子, 窗帘, 阳光, 建筑物外观","window, laptop, mobile phone, water bottle, plant, table, chair, curtain, sunlight, building exterior","laptop, phone, water bottle, plant, desk, chair, window, curtain, sunlight, room, building exterior"
GPT4,Object,3,瓶子，干花，桌子，椅子，白色橱柜，水壶，阁楼楼梯，现代简约风格,"Bottles, dried flowers, table, chairs, white cabinets, kettle, loft stairs, modern minimalist style","dried flowers, vase, table, kitchen, kettle, stairs, modern, neutral colors, interior design, minimalism, green chair"
GPT4,Object,4,"花园, 雕塑, 女性形象, 古典, 植物, 白色, 户外, 白天, 树木, 草地, 白色花朵","garden, sculpture, female figure, classical, plants, white, outdoors, day, trees, meadow, white flowers","statue, woman, flowers, basket, garden, trees, sunlight, nature, art, sculpture, elegance, greenery, serene, outdoor, ornamental, white marble"
GPT4,Object,5,"沙滩, 太阳镜, 清晰, 模糊背景, 白沙, 红色框架, 倒影, 椰树, 蓝天, 夏天, 度假风格","beach, sunglasses, clear, blurred background, white sand, red frame, reflection, coconut trees, blue sky, summer, resort style","sunglasses, sand, beach, tropical, clear sky, summer, vacation, leisure, palm tree, ocean horizon, sunny, eyewear, fashion accessory"
GPT4,Object,6,"森林, 巨石, 苔藓, 背包, 徒步旅行杖, 枯叶, 松针, 树木, 绿色, 野外探险, 户外装备","forest, boulders, moss, backpack, hiking poles, dead leaves, pine needles, trees, green, wilderness adventure, outdoor gear","backpack, hiking poles, mossy rock, forest, pine needles, outdoor, adventure, trekking equipment, wilderness, resting gear, hiking trail, nature, exploration"
GPT4,Object,7,"城市天际线, 数码相机, 三脚架, 水面, 云, 栏杆, 摄影, 对焦, 曼哈顿, 河流, 阴天","city skyline, digital camera, tripod, water surface, clouds, railing, photography, focus, manhattan, river, cloudy day","Camera, tripod, skyline, water, clouds, fence, rocks, cityscape, outdoor photography, overcast, waterfront, DSLR, screen display, urban"
GPT4,Object,8,"草地, 野餐篮, 草莓, 野花, 毯子, 春天, 户外, 野餐, 阳光, 休闲","meadow, picnic basket, strawberries, wildflowers, blanket, spring, outdoors, picnic, sunshine, leisure","wicker picnic basket, strawberries, wildflowers, daisies, colorful blanket, grass, outdoor, summer, sunny day, leisure, picnic scene"
GPT4,Object,9,"沙滩, 橙色遮阳伞, 海岸线, 蓝天, 白云, 橙色躺椅, 清澈海水, 白色沙子, 太阳光, 宁静, 度假, 夏日","beach, orange parasols, coastline, blue sky, white clouds, orange deck chairs, clear sea water, white sand, sunlight, tranquility, vacation, summer","beach, blue sky, sand, orange beach umbrella, orange sun lounger, relaxation, summer, clear day, vacation, tropical, seaside, shoreline, tranquility"
GPT4,People,0,"音乐家, 吉他手, 现场表演, 红色舞台灯光, 麦克风架, 演唱会, 复古风格, 红色夹克, 墨镜, 阴影剪影, 鼓组, 舞台烟雾","musician, guitarist, live performance, red stage lights, microphone stand, concert, retro style, red jacket, sunglasses, shadow silhouette, drum set, stage smoke","musician, guitar, performance, concert, stage, red jacket, sunglasses, microphone, spotlight, shadows, drummer silhouette"
GPT4,People,1,"住宅区, 农田, 农民, 豆类作物, 房屋, 蓝天, 郊外, 发展中, 绿色, 清新, 开阔空间","residential area, farmland, farmers, legume crops, houses, blue sky, suburb, developing, green, fresh, open space","man, field, soybean plants, residential area, houses, blue sky, daytime, agriculture, urban encroachment, farming, suburbs, development, rural-urban interface"
GPT4,People,2,"餐厅, 厨师, 炉灶, 烹饪, 厨房, 工作服, 忙碌, 食材, 锅, 蒸汽, 商业厨房, 准备食物, 厨房团队","restaurant, chef, stove, cooking, kitchen, work clothes, busy, ingredients, pot, steam, commercial kitchen, food preparation, kitchen team","chef, kitchen, cooking, professional, uniform, busy, stove, pots, steam, concentration, teamwork, food preparation, restaurant, culinary, apron, hat"
GPT4,People,3,男人，鲜花，花店，微笑，外套，商店招牌，圣诞装饰，玻璃橱窗,"man, flowers, florist, smile, coat, shop sign, christmas decoration, glass showcase","Florist, smiling man, holding flowers, lilies, flower shop, storefront, holiday decorations, urban setting, Matles Florist sign, website address, contact number"
GPT4,People,4,"画家, 绘画, 艺术, 工作室, 彩色, 画布, 创意, 焦点, 灵感, 室内, 光明, 艺术用品, 涂料, 创造性, 表情, 拼色, 油漆刷, 休闲装, 专注, 手工艺","painter, painting, art, studio, colorful, canvas, creative, focus, inspiration, interior, bright, art supplies, paint, creative, expression, colorblocking, paint brush, casual wear, focus, craft","Artist, painting, canvas, colorful, concentration, creativity, paintbrush, kneel, wooden floor, indoor, paint tubes, casual wear, bright, artwork, inspiration, messy bun, focused"
GPT4,People,5,"海滩, 瑜伽, 女性, 健身, 蓝天, 海洋, 晴朗, 运动垫, 户外运动, 岩石, 植被","beach, yoga, women, fitness, blue sky, ocean, sunny, exercise mat, outdoor sports, rocks, vegetation","woman, yoga, beach, fitness, exercise mat, sunny, outdoors, cliffs, ocean, blue sky, active wear, balance, health, wellness, nature, sea view, tranquility, peaceful, strength, focused, posture, Warrior Pose, physical activity, sea breeze, coastal landscape"
GPT4,People,6,"汽车, 修理工, 车库, 引擎, 工具, 工作, 机械, 专业, 服装, 链条, 汽车提升机","car, mechanic, garage, engine, tools, work, machinery, profession, clothing, chain, car hoist","mechanic, car repair, workshop, vehicle on lift, working, tools, garage, engine maintenance, auto service, technician, labor, blue-collar job, skilled work, automobile industry, mechanical repair, concentration, hands-on task"
GPT4,People,7,施工现场，男子，工程帽，测量，泡沫混凝土板，专注，工具，安全设备，工作服，室内，建筑改造,"construction site, man, engineering cap, measuring, foam concrete slab, focus, tools, safety equipment, work clothes, interior, building renovation","construction worker, hard hat, measuring, styrofoam, insulation, building site, renovation, tools, safety helmet, concentration, craftsmanship, manual labor, indoors, construction equipment"
GPT4,People,8,医护人员，电脑，医院病房，口罩，听诊器，护士服，工作牌，专注，医疗设备,"medical staff, computer, hospital ward, mask, stethoscope, nurse uniform, work badge, focus, medical equipment","Healthcare worker, hospital, nurse, medical scrubs, face mask, stethoscope, ID badge, computer, working, hospital room, patient bed, IV stand, professionalism, focused, medical care"
GPT4,People,9,"科学家, 实验室, 分析, 电脑, 试管, 扫描仪, 数据, 研究, 化验, 白大褂, 保护手套, 紫色手套, 专注工作","scientist, laboratory, analysis, computer, test tube, scanner, data, research, assay, white coat, protective gloves, purple gloves, focus on work","woman, laboratory, scientist, research, blue gloves, computer, analysis, lab coat, curly hair, glasses, concentration, equipment, vials, testing, technology, healthcare"
