Model,Image,Chinese,Chinese (trans.),English
Qwen-VL,22,"炮兵, 军事, 武器, 炮, 战争, 战斗, 士兵, 防护装备, 头盔, 防弹衣, 烟雾, 爆炸, 冲击波, 战场, 战术, 战术装备, 瞄准, 射击","artillery, military, weapon, cannon, war, battle, soldier, protective equipment, helmet, body armor, smoke, explosion, shock wave, battlefield, tactics, tactical equipment, aiming, shooting","cannon, smoke, soldiers"
Qwen-VL,23,"炮弹,爆炸,烟雾,士兵,战场","shells, explosion, smoke, soldiers, battlefield","cannon, smoke, explosion, field, trees"
Qwen-VL,24,"wounded, Ukrainian soldiers, bandaged head, camouflage uniforms, muddy road, military vehicles","wounded, Ukrainian soldiers, bandaged head, camouflage uniforms, muddy road, military vehicles","arm, bandage, camo, camouflage, field, head, helmet, injury, injured, military, soldier, tank, vehicle"
Qwen-VL,25,"Ukrainian soldiers, BMP-2 infantry fighting vehicles, Kyiv, Ukraine, street, houses, trees","Ukrainian soldiers, BMP-2 infantry fighting vehicles, Kyiv, Ukraine, street, houses, trees","Ukrainian soldiers, armored personnel carriers, street"
Qwen-VL,26,"士兵, 建筑物废墟, 枪支, 防护装备, 战争场景, 军事行动, 破坏, 战斗, 安全措施, 危险环境","soldier, building ruins, gun, protective equipment, war scene, military action, destruction, battle, safety measures, hazardous environment","soldiers , rifles , rubble"
Qwen-VL,27,"坦克, 火焰, 战争, 军事, 武器, 炮弹, 射击, 战斗, 场景, 士兵, 防御, 进攻, 战术, 战略, 军事行动","tank, flame, war, military, weapon, shell, shooting, battle, scene, soldier, defense, offense, tactics, strategy, military action","tank, fire, explosion, field, trees"
Qwen-VL,28,"乌克兰军队,装甲车,战场,战争,冲突,士兵,装备,战斗","Ukrainian army, armored vehicles, battlefield, war, conflict, soldiers, equipment, battle","armored personnel carrier, soldiers, destroyed car, war"
Qwen-VL,29,"坦克,士兵,军事装备,战场,战争,防御,攻击,战略,力量,冲突","tank,soldier,military equipment,battlefield,war,defense,attack,strategy,power,conflict","a tank on the road, a man climbing on the tank, a cloudy sky"
Qwen-VL,30,"士兵, 枪, 战斗, 防护装备, 声音, 爆炸, 战争, 军事行动, 战术, 武器, 装备","soldier, gun, battle, protective gear, sound, explosion, war, military action, tactics, weapon, equipment","machine gun, bullet casings, helmet, camouflage, ear protection, backpack"
GPT-4,1,"士兵, 坦克, 毁坏, 森林, 火灾后, 站岗, 军服, 迷彩, 树木, 焦黑, 废墟","soldier, tank, destroyed, forest, after fire, standing guard, military uniform, camouflage, trees, charred, ruins","burnt tank, soldiers, forest, military, destruction, warfare remnants, charred, armed forces, inspection, devastation, combat aftermath, scorched earth, camouflage clothing, military gear, battle damage, tactical vest."
GPT-4,2,"军人, 废墟, 建筑破坏, 树木, 碎片, 防弹衣, 头盔, 冬季, 战区, 徒步, 疲惫表情","soldier, ruins, building damage, trees, debris, body armor, helmet, winter, war zone, hiking, tired expression","soldiers, debris, destroyed building, helmets, military uniforms, trees, overcast sky, walking, rubble, devastation, conflict zone, outdoors, daytime"
GPT-4,3,坦克，雪，士兵，迷彩，树木，冬季，装甲车辆，野外，白色覆盖。,"tank, snow, soldier, camouflage, trees, winter, armored vehicle, field, white cover.","tank, snow, soldiers, winter camouflage, trees, branches, cold weather, military vehicle, armored, turret, tracks, nature, outdoor, daytime, concealed, armed forces"
GPT-4,4,"军事, 坦克, 射击, 烟火, 田野, 士兵, 通信, 天空, 阴天","military, tank, shooting, fireworks, field, soldier, communication, sky, cloudy day","military exercise, armored vehicle, firing, soldier, radio communication, cloudy sky, open field, artillery, mobility, firepower, combat uniform, helmet, tactical gear"
GPT-4,5,坦克，雪地，士兵，训练，装甲车辆，阴天，冬季，军事演习，战斗车辆，迷彩服，跳跃动作,"tank, snow, soldier, training, armored vehicle, cloudy day, winter, military exercise, combat vehicle, camouflage uniform, jumping action","tank, snow, soldiers, military vehicle, winter, tracks, cannon, armored, crew, outdoors, cloudy sky, training, military exercise"
GPT-4,6,"坦克, 火焰, 射击, 烟雾, 草地, 活动, 军事, 动力, 战斗, 地形","tank, flame, shooting, smoke, grass, activity, military, power, battle, terrain","tank, firing, explosion, muzzle flash, dust, motion, military, armored vehicle, battlefield, outdoors, grassland, action, powerful, weapon, artillery"
GPT-4,7,"坦克, 毁坏, 军人, 迷彩, 遮脸, 武装, 外套, 草木, 破败建筑, 阳光, 战场遗迹","tank, destroyed, soldier, camouflage, face covering, armed, coat, vegetation, ruined building, sunlight, battlefield remains","soldier, camouflage uniform, helmet, face mask, rifle, military vest, destroyed tank, rubble, bricks, burnt vehicles, war destruction, daylight, outdoors"
GPT-4,8,"军事, 人物, 地下, 穿着迷彩, 灯光, 盒子, 严肃, 集中, 石壁, 穿戴装备","military, people, underground, wearing camouflage, lights, box, serious, concentrated, stone wall, wearing equipment","low-lit tunnel, military personnel, uniforms, medals in case, serious expressions, underground setting, camouflaged gear, headlamps, tactical vests, stone walls, ceremony, solemn event"
GPT-4,9,"士兵, 通讯, 坦克, 火焰, 迷彩, 天空, 裸树, 草地","soldier, communication, tank, flames, camouflage, sky, bare trees, grass","artillery, soldier, firing, tank, military, camouflage, ear protection, blast, smoke, outdoors, combat, dry grass, cloudy sky"
GPT-4,10,Soldiers Military training Greenery Heavy machine gun Camouflage uniforms Helmets Sunny day Outdoor setting Tactical gear Communication Instruction Teamwork,Soldiers Military training Greenery Heavy machine gun Camouflage uniforms Helmets Sunny day Outdoor setting Tactical gear Communication Instruction Teamwork,"military training, soldiers, camouflage uniforms, outdoor, heavy machine gun, tripod-mounted weapon, clear sky, grassy field, tactical gear, helmets, teamwork, instruction, daytime"
GPT-4,11,"坦克, 士兵, 军队, 迷彩服, 步兵, 地面, 干草, 冬季, 枯草, 烟雾, 战斗行动, 头盔, 步枪, 草地, 树木, 阳光, 尘土, 军事演习, 战术装备, 迷彩军服, 军队行进, 野外训练.","tank, soldier, army, camouflage uniform, infantry, ground, hay, winter, dead grass, smoke, combat action, helmet, rifle, grass, trees, sunlight, dust, military exercise, tactical equipment, camouflage military uniform, army march, field training .","military, soldiers, field, tank, combat uniforms, helmets, rifles, exercise, maneuvers, dust, grass, winter, daytime, outdoors, armed forces, training, military operation, infantry."
GPT-4,12,"坦克, 炮弹, 发射, 军人, 装甲, 树木, 白天, 迷彩, 地面, 缆绳, 污泥, 草地, 军用车辆","tank, artillery shell, launch, soldier, armor, trees, daytime, camouflage, ground, cable, mud, grass, military vehicle","tank, firing, military exercise, soldiers, armored vehicle, tracks, forest background, camouflage, turret, machine gun, dirt, chains, storage boxes"
GPT-4,13,"士兵, 军装, 乌克兰国旗, 防弹衣, 头盔, 通讯设备, 军事装备, 天空, 团结, 协作, 军事车辆","soldier, military uniform, ukrainian flag, body armor, helmet, communication equipment, military equipment, sky, unity, collaboration, military vehicle","Soldiers, Ukrainian flag, military uniform, helmets, armored vehicle, communication, sky, teamwork, camaraderie, outdoor, daytime, tactical gear."
GPT-4,14,"士兵, 通讯, 炮击, 火球, 坦克炮, 迷彩服, 野外, 黄昏, 军事行动, 设备, 树木轮廓","soldier, communication, shelling, fireball, tank gun, camouflage uniform, field, dusk, military operation, equipment, tree silhouettes","soldier, artillery, explosion, fireball, military uniform, field, trees, cloudy sky, equipment, communication, action, combat scenario"
GPT-4,15,中年男子，军装，头盔，通讯设备，防弹背心，废墟，紧张氛围，指挥，集中注意力，战术讨论,"Middle-aged man, military uniform, helmet, communication equipment, bulletproof vest, ruins, tense atmosphere, command, concentration, tactical discussion","military personnel, tactical gear, camouflage uniforms, ruins, communication equipment, group, outdoor, daytime, rubble, serious expressions, body armor, helmets, radio, teamwork, strategic planning"
GPT-4,16,"坦克, 军人, 迷彩服, 枪支, 乌克兰国旗, 天空, 树木, 野外","tank, soldier, camouflage uniform, gun, ukrainian flag, sky, trees, field","military personnel, armored vehicle, camouflage uniform, rifles, aiming, Ukrainian flag, helmets, combat readiness, overcast sky, barren trees, teamwork, defense position"
GPT-4,17,士兵，火箭发射，多管火箭发射器，军用车辆，迷彩服，田野，树木轮廓，黄昏，排气火焰,"Soldier, rocket launch, multiple rocket launcher, military vehicle, camouflage uniform, field, tree silhouettes, dusk, exhaust flames","military, soldier, rocket launcher, camouflage, artillery, missile, firing, vehicle, dusk, field, trees, outdoor, action, heavy equipment, military operation, projectile, flame, warfare, mobility"
GPT-4,18,"火, 烟, 军人, 坦克, 田野, 树, 日落, 迷彩服, 战斗, 炮管, 爆炸, 空气中的颗粒物, 战场, 自然光, 阴影, 晨雾.","fire, smoke, soldier, tank, field, tree, sunset, camouflage uniform, battle, gun barrel, explosion, airborne particles, battlefield, natural light, shadow, morning fog.","fire, smoke, explosion, soldiers, military uniform, walking, combat, field, grass, artillery, action, outdoor, dramatic, warfare, conflict, silhouette"
GPT-4,19,坦克，乌克兰旗帜，士兵，公路，树木，云，天空，烧毁的车辆残骸，步行的人。,"Tanks, Ukrainian flags, soldiers, roads, trees, clouds, sky, burned-out vehicle wreckage, people on foot.","tank, Ukrainian flag, soldiers, road, trees, clouds, damaged tank, military, wreckage, asphalt, vehicle"
GPT-4,20,"坦克, 军人, 迷彩服, 田野, 白天, 操练, 炮管, 装甲车辆, 头盔, 相机包, 军事行动, 符号, 外场.","tank, soldier, camouflage uniform, field, day, drill, gun barrel, armored vehicle, helmet, camera bag, military action, symbol, field.","military, soldiers, anti-tank missile, camouflage, armored vehicle, field, helmets, uniforms, artillery, equipment, communication, outdoor, team, preparedness, defense."
GPT-4,21,"坦克, 毁坏, 炮管, 掉落, 履带, 碎片, 道路, 湿润, 阴天, 杂草, 拖拉机, 拖车","tank, destroyed, barrel, dropped, tracks, debris, road, wet, cloudy, weeds, tractor, trailer","destroyed tank, burnt vehicle, artillery barrel, tracked chassis, muddy road, overcast sky, agricultural field, scattered debris, military wreckage, roadside, heavy machinery, unexploded ordnance"
GPT-4,22,"护耳, 烟雾, 军事, 榴弹炮, 地面, 伪装服, 操作, 沙尘, 安全装备, 战斗服, 通信设备, 防护眼镜, 野战, 士兵, 炮兵.","ear protection, smoke, military, howitzer, ground, camouflage suit, operation, dust, safety equipment, combat uniform, communication equipment, protective glasses, field, soldier, artillery.","military, artillery, soldiers, firing, mortar, dust, smoke, ear protection, communication, operation, desert, camouflage, teamwork, defense, weapon system, outdoors, combat uniform"
GPT-4,23,"炮火, 坦克, 烟雾, 军事, 射击, 迷彩服, 树木, 草地, 阳光, 弹药箱, 土壤, 枯叶, 战场","artillery fire, tank, smoke, military, shooting, camouflage uniform, trees, grass, sunlight, ammunition boxes, soil, dead leaves, battlefield","artillery, explosion, fire, smoke, soldier, trees, recoil, cannon, military, action, outdoors, firing, weapon, battlefield, combat."
GPT-4,24,"军装, 伤员, 头部包扎, 拥抱, 士气, 战车, 田野, 阴天, 军队, 休息, 同志情谊, 军事行动后, 泥泞的道路, 安慰, 支持, 草地, 战斗疲惫, 战场兄弟, 后勤车辆, 反射镜, 穿着迷彩服的士兵。","military uniform, wounded, head bandaging, hug, morale, tank, field, cloudy day, army, rest, comradeship, after military action, muddy road, comfort, support, meadow, battle fatigue, battlefield brothers, logistics vehicle, Reflector, soldier in camouflage uniform.","soldiers, embrace, head bandage, military vehicles, muddy terrain, cloudy sky, fatigue, compassion, camaraderie, support, wounded, armed forces, convoy, desolate landscape, unity, hardship"
GPT-4,25,"坦克, 士兵, 军事, 街道, 迷彩, 乌克兰旗帜, 护甲车辆, 城市, 日间, 防御, 装备, 队形, 军队, 移动, 装甲 personnel_carrier","tank, soldier, military, street, camouflage, ukrainian flag, armored vehicle, city, daytime, defense, equipment, formation, army, mobile, armored personnel carrier","armored vehicle, soldiers, military, urban setting, camouflage, Ukrainian flag, helmets, body armor, overcast sky, residential area, leafless trees, daytime"
GPT-4,26,"士兵, 废墟, 防护装备, 武器, 阳光, 部署, 搜索, 安全头盔, 军事行动, 战斗服, 废弃建筑.","soldier, ruins, protective gear, weapon, sunlight, deployment, search, safety helmet, military operation, combat uniform, abandoned building.","Soldiers, rubble, destroyed building, blue sky, armed, tactical gear, walking, debris, helmets, cloudy, military patrol, urban devastation, safety equipment, outdoors, day time."
GPT-4,27,坦克，射击，火焰，爆炸，军事，田野，树木,"tank, shooting, flames, explosion, military, fields, trees","tank, firing, explosion, flame, smoke, military, artillery, outdoors, grass, trees"
GPT-4,28,"军事, 坦克, 士兵, 焦黑的残骸, 道路, 树木, 冬季, 穿迷彩服的人, 天空, 灰色, 重装备, 战争损毁, 守望, 侦察, 军事行动, 防护装备, 武装冲突, 冷清, 破坏, 安全, 监视, 交通标志, 破碎的金属.","military, tank, soldier, charred wreckage, road, trees, winter, men in camouflage, sky, grey, heavy equipment, war damage, watch, reconnaissance, military action, protective equipment, armed conflict, deserted, destruction, security , surveillance, traffic sign, broken metal.","burned vehicle, soldiers, armored personnel carrier, trees, cloudy sky, road, standing soldier, military equipment, destruction, conflict zone, winter, daytime"
GPT-4,29,"坦克, 道路, 士兵, 迷彩, 标记, 秋季, 树木, 天空, 白天, 军事, 装甲车辆","tank, road, soldier, camouflage, marking, autumn, trees, sky, daytime, military, armored vehicle","tank, soldiers, military, road, autumn, cloudy sky, armored vehicle, mounted machine gun, turret, cannon, mud, dirty, Ukrainian flag colors, outdoors, daytime, trees, camouflage clothing"
GPT-4,30,"士兵, 战斗, 枪支, 头盔, 防弹衣, 土垒, 树木, 弹药带, 战术装备, 通讯设备, 野战, 掩体","soldier, battle, gun, helmet, body armor, earthen barrier, trees, ammunition belt, tactical equipment, communication equipment, field, bunker","military, soldiers, camouflage, machine gun, helmet, ear protection, goggles, tactical gear, dirt, trees, outdoors, action, combat, defense, ammunition, warfare, dugout, readiness"
